instance_type,n,seed,algorithm,bins,lower_bound,ratio,time_ms,capacity,item_range
large_items,300,3,CAD,126,113,1.115044,188.2281,1000,250-500
large_items,300,4,FFD,126,114,1.105263,0.8293,1000,250-500
large_items,300,4,BFD,126,114,1.105263,0.8228,1000,250-500
large_items,300,4,CAD,125,114,1.096491,210.5843,1000,250-500
large_items,300,5,FFD,122,110,1.109091,0.7924,1000,250-500
large_items,300,5,BFD,122,110,1.109091,0.8043,1000,250-500
large_items,300,5,CAD,123,110,1.118182,182.5742,1000,250-500
large_items,300,6,FFD,124,111,1.117117,0.872,1000,250-500
large_items,300,6,BFD,124,111,1.117117,0.8395,1000,250-500
large_items,300,6,CAD,123,111,1.108108,198.4153,1000,250-500
large_items,300,7,FFD,127,114,1.114035,0.8161,1000,250-500
large_items,300,7,BFD,127,114,1.114035,0.8266,1000,250-500
large_items,300,7,CAD,125,114,1.096491,164.1937,1000,250-500
large_items,300,8,FFD,126,113,1.115044,0.9149,1000,250-500
large_items,300,8,BFD,126,113,1.115044,0.8168,1000,250-500
large_items,300,8,CAD,123,113,1.088496,184.0362,1000,250-500
large_items,300,9,FFD,126,115,1.095652,0.8078,1000,250-500
large_items,300,9,BFD,126,115,1.095652,1.2602,1000,250-500
large_items,300,9,CAD,129,115,1.121739,194.457,1000,250-500
large_items,300,10,FFD,123,111,1.108108,0.8105,1000,250-500
large_items,300,10,BFD,123,111,1.108108,0.8171,1000,250-500
large_items,300,10,CAD,123,111,1.108108,200.1286,1000,250-500
large_items,300,11,FFD,124,113,1.097345,0.8029,1000,250-500
large_items,300,11,BFD,124,113,1.097345,0.8463,1000,250-500
large_items,300,11,CAD,126,113,1.115044,162.9497,1000,250-500
large_items,300,12,FFD,124,112,1.107143,0.7826,1000,250-500
large_items,300,12,BFD,124,112,1.107143,0.8887,1000,250-500
large_items,300,12,CAD,125,112,1.116071,184.5398,1000,250-500
large_items,300,13,FFD,127,113,1.123894,0.9198,1000,250-500
large_items,300,13,BFD,127,113,1.123894,0.8347,1000,250-500
large_items,300,13,CAD,126,113,1.115044,188.1887,1000,250-500
large_items,300,14,FFD,124,111,1.117117,0.9679,1000,250-500
large_items,300,14,BFD,124,111,1.117117,0.8253,1000,250-500
large_items,300,14,CAD,121,111,1.09009,178.7794,1000,250-500
large_items,300,15,FFD,128,115,1.113043,0.8427,1000,250-500
large_items,300,15,BFD,128,115,1.113043,0.8292,1000,250-500
large_items,300,15,CAD,129,115,1.121739,178.6151,1000,250-500
large_items,300,16,FFD,125,112,1.116071,0.8296,1000,250-500
large_items,300,16,BFD,125,112,1.116071,0.8616,1000,250-500
large_items,300,16,CAD,122,112,1.089286,210.1807,1000,250-500
large_items,300,17,FFD,126,114,1.105263,0.8942,1000,250-500
large_items,300,17,BFD,126,114,1.105263,0.8297,1000,250-500
large_items,300,17,CAD,128,114,1.122807,202.1598,1000,250-500
large_items,300,18,FFD,126,113,1.115044,0.8502,1000,250-500
large_items,300,18,BFD,126,113,1.115044,0.8299,1000,250-500
large_items,300,18,CAD,125,113,1.106195,195.8749,1000,250-500
large_items,300,19,FFD,123,111,1.108108,0.8115,1000,250-500
large_items,300,19,BFD,123,111,1.108108,0.826,1000,250-500
large_items,300,19,CAD,123,111,1.108108,203.1742,1000,250-500
large_items,300,20,FFD,126,114,1.105263,0.8169,1000,250-500
large_items,300,20,BFD,126,114,1.105263,0.8138,1000,250-500
large_items,300,20,CAD,128,114,1.122807,191.8868,1000,250-500
large_items,300,21,FFD,124,112,1.107143,0.8097,1000,250-500
large_items,300,21,BFD,124,112,1.107143,0.8162,1000,250-500
large_items,300,21,CAD,125,112,1.116071,188.7563,1000,250-500
large_items,300,22,FFD,124,112,1.107143,0.844,1000,250-500
large_items,300,22,BFD,124,112,1.107143,0.828,1000,250-500
large_items,300,22,CAD,125,112,1.116071,189.4156,1000,250-500
large_items,300,23,FFD,127,114,1.114035,0.8276,1000,250-500
large_items,300,23,BFD,127,114,1.114035,0.862,1000,250-500
large_items,300,23,CAD,126,114,1.105263,178.3078,1000,250-500
large_items,300,24,FFD,126,113,1.115044,0.8061,1000,250-500
large_items,300,24,BFD,126,113,1.115044,0.8416,1000,250-500
large_items,300,24,CAD,125,113,1.106195,192.3775,1000,250-500
large_items,300,25,FFD,125,111,1.126126,0.7882,1000,250-500
large_items,300,25,BFD,125,111,1.126126,0.8052,1000,250-500
large_items,300,25,CAD,123,111,1.108108,194.8595,1000,250-500
large_items,300,26,FFD,125,112,1.116071,0.9214,1000,250-500
large_items,300,26,BFD,125,112,1.116071,1.4079,1000,250-500
large_items,300,26,CAD,122,112,1.089286,157.4162,1000,250-500
large_items,300,27,FFD,123,112,1.098214,0.7692,1000,250-500
large_items,300,27,BFD,123,112,1.098214,0.8063,1000,250-500
large_items,300,27,CAD,125,112,1.116071,174.8756,1000,250-500
large_items,300,28,FFD,126,114,1.105263,0.8296,1000,250-500
large_items,300,28,BFD,126,114,1.105263,0.8098,1000,250-500
large_items,300,28,CAD,126,114,1.105263,163.6898,1000,250-500
large_items,300,29,FFD,128,116,1.103448,0.7767,1000,250-500
large_items,300,29,BFD,128,116,1.103448,0.818,1000,250-500
large_items,300,29,CAD,128,116,1.103448,183.4082,1000,250-500
large_items,300,30,FFD,126,114,1.105263,0.8919,1000,250-500
large_items,300,30,BFD,126,114,1.105263,0.8327,1000,250-500
large_items,300,30,CAD,127,114,1.114035,193.5352,1000,250-500
large_items,300,31,FFD,126,113,1.115044,0.7632,1000,250-500
large_items,300,31,BFD,126,113,1.115044,0.8602,1000,250-500
